t,x,u,z1_hat,z2_hat,z3_hat
0.00000,0.00002,0.25000,0.00001,0.00249,-0.00008
0.00500,0.00006,0.50000,0.00003,0.00748,-0.00014
0.01000,0.00015,0.75000,0.00009,0.01500,-0.00002
0.01500,0.00030,1.00000,0.00019,0.02507,0.00047
0.02000,0.00052,1.25000,0.00036,0.03774,0.00154
0.02500,0.00084,1.50000,0.00060,0.05304,0.00344
0.03000,0.00126,1.75000,0.00093,0.07102,0.00639
0.03500,0.00180,2.00000,0.00137,0.09170,0.01063
0.04000,0.00248,2.25000,0.00193,0.11514,0.01636
0.04500,0.00330,2.50000,0.00263,0.14137,0.02380
0.05000,0.00429,2.75000,0.00348,0.17042,0.03313
0.05500,0.00546,3.00000,0.00450,0.20234,0.04451
0.06000,0.00683,3.25000,0.00571,0.23715,0.05809
0.06500,0.00840,3.50000,0.00711,0.27489,0.07399
0.07000,0.01020,3.75000,0.00873,0.31558,0.09231
0.07500,0.01224,4.00000,0.01058,0.35925,0.11315
0.08000,0.01454,4.25000,0.01267,0.40592,0.13655
0.08500,0.01710,4.50000,0.01502,0.45561,0.16258
0.09000,0.01995,4.75000,0.01766,0.50834,0.19125
0.09500,0.02310,5.00000,0.02058,0.56413,0.22258
0.10000,0.02655,5.00000,0.02380,0.62049,0.25666
0.10500,0.03030,5.00000,0.02733,0.67743,0.29336
0.11000,0.03435,5.00000,0.03117,0.73493,0.33251
0.11500,0.03870,5.00000,0.03531,0.79297,0.37387
0.12000,0.04335,5.00000,0.03975,0.85152,0.41719
0.12500,0.04830,5.00000,0.04451,0.91055,0.46219
0.13000,0.05355,5.00000,0.04957,0.97001,0.50855
0.13500,0.05910,5.00000,0.05494,1.02988,0.55601
0.14000,0.06495,5.00000,0.06061,1.09011,0.60427
0.14500,0.07110,5.00000,0.06660,1.15067,0.65305
0.15000,0.07755,5.00000,0.07289,1.21152,0.70209
0.15500,0.08430,5.00000,0.07948,1.27263,0.75116
0.16000,0.09135,5.00000,0.08638,1.33395,0.80004
0.16500,0.09870,5.00000,0.09359,1.39546,0.84850
0.17000,0.10635,5.00000,0.10110,1.45713,0.89639
0.17500,0.11430,5.00000,0.10891,1.51893,0.94352
0.18000,0.12255,5.00000,0.11703,1.58084,0.98976
0.18500,0.13110,5.00000,0.12544,1.64282,1.03499
0.19000,0.13995,5.00000,0.13417,1.70487,1.07909
0.19500,0.14910,5.00000,0.14319,1.76696,1.12199
0.20000,0.15855,5.00000,0.15252,1.82907,1.16360
0.20500,0.16830,5.00000,0.16214,1.89119,1.20387
0.21000,0.17835,5.00000,0.17207,1.95330,1.24276
0.21500,0.18870,5.00000,0.18230,2.01540,1.28023
0.22000,0.19935,5.00000,0.19283,2.07747,1.31626
0.22500,0.21030,5.00000,0.20366,2.13951,1.35084
0.23000,0.22155,5.00000,0.21478,2.20150,1.38397
0.23500,0.23310,5.00000,0.22621,2.26344,1.41565
